Pattern,Tag,response
Transport vers le campus ?,Campus,Accès en transport en commun et navettes privées selon disponibilité. Parking étudiant sur inscription.
Contacts scolarité ?,Contacts,Service Scolarité : scolarite@uic.ma | Lundi–Vendredi 9h–17h. Téléphone du standard disponible sur le site.
Où se situe l'UIC ?,Campus,Le campus est à Casablanca. L'adresse exacte et le plan d'accès sont disponibles sur le site officiel.
هل توجد سكنات طلابية قريبة؟,Campus,توفر الجامعة مواكبة للعثور على سكن قريب من الحرم أو سكن مشترك. تواصل مع مكتب الحياة الطلابية.
ما هي أوقات عمل المكتبة؟,Bibliothèque,المكتبة مفتوحة من الاثنين إلى الجمعة 8:30–18:30 (قد تتغير خلال فترات الامتحانات).
كيف أحصل على بطاقة الطالب؟,Campus,بعد التسجيل الإداري، تُسلَّم بطاقة الطالب من مصلحة شؤون الطلبة خلال 5 إلى 10 أيام.
هل يوجد Wi‑Fi في الحرم؟,IT,نعم، توجد تغطية Wi‑Fi. تُسلّم بيانات الدخول أثناء التسجيل. للدعم تواصل مع الدعم التقني.
كيف أدخل إلى Moodle؟,IT,يمكن الولوج إلى مودل باستعمال حساب UIC. عند نسيان كلمة المرور، استعمل خيار 'نسيت كلمة المرور'.
هل توجد مطاعم طلابية؟,Campus,نعم، توجد نقاط أكل داخل الحرم بقوائم متنوعة وأسعار مخصصة للطلبة.
هل توجد نوادٍ وأنشطة؟,Vie Étudiante,نعم، توجد أندية تقنية ورياضية وفنية ومناظرات. التسجيل عبر مكتب الحياة الطلابية.
كيف أصل إلى الحرم؟,Campus,يمكن الوصول عبر النقل العمومي وحافلات خاصة حسب التوفر. موقف سيارات للطلبة بالتسجيل.
كيف أتواصل مع شؤون الطلبة؟,Contacts,مصلحة شؤون الطلبة: scolarite@uic.ma | من الاثنين إلى الجمعة 9–17. هاتف الاستعلامات على الموقع.
أين تقع جامعة UIC؟,Campus,الحرم يوجد في الدار البيضاء. العنوان الدقيق وخريطة الوصول على الموقع الرسمي.
Calendrier des examens ?,Examens,"Les examens se tiennent en fin de semestre, les rattrapages suivent. Le planning détaillé est publié par la scolarité."
Système de notation UIC ?,Académique,Le système de notation suit l’échelle nationale. Les détails d'évaluation sont communiqués par chaque filière.
Stage obligatoire ?,Stages,Des stages sont obligatoires pour plusieurs filières. Les conventions sont délivrées par la scolarité.
Césure possible ?,Académique,Une année de césure peut être envisagée selon conditions et validation académique.
Attestation de scolarité ?,Scolarité,Disponible via l’espace étudiant ou au guichet scolarité sous 48h ouvrées.
متى مواعيد الامتحانات؟,Examens,تُجرى الامتحانات في نهاية الفصل، وتليها الاستدراكات. يتم نشر الجدولة بالتفصيل من طرف شؤون الطلبة.
ما هو نظام التنقيط في UIC؟,Académique,يعتمد النظام الوطني. تفاصيل التقويم يحددها كل تخصص.
هل التدريب (الستاج) إلزامي؟,Stages,نعم في عدة تخصصات. تُسلّم اتفاقيات التدريب من مصلحة شؤون الطلبة.
هل أستطيع أخذ سنة فجوة؟,Académique,يمكن دراسة سنة فجوة بشروط وموافقة أكاديمية.
كيف أحصل على شهادة مدرسية؟,Scolarité,متاحة عبر الفضاء الطلابي أو من شباك شؤون الطلبة خلال 48 ساعة عمل.
Peut-on payer en plusieurs fois ?,Frais,"Oui, des modalités de paiement échelonné sont possibles après validation par la comptabilité."
Facture de scolarité ?,Frais,"Les factures sont disponibles sur l’espace étudiant. Pour anomalies, contactez la comptabilité."
هل يمكن الدفع بالتقسيط؟,Frais,نعم، يمكن ترتيب الدفع على أقساط بعد موافقة مصلحة المحاسبة.
أين أجد الفواتير؟,Frais,الفواتير متاحة في الفضاء الطلابي. عند وجود خلل، تواصل مع المحاسبة.
Adresse e-mail de contact UIC ?,Contacts,Adresse générale : contact@uic.ma. Pour les admissions : admissions@uic.ma.
بريد إلكتروني للتواصل مع UIC؟,Contacts,البريد العام: contact@uic.ma. للقبول: admissions@uic.ma.
